epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,8651.25,1.40009,0.9744,1.69028,0.88232,0.81897,0.88923,0.53095,1.41454,0.83262,2.04868,0.000783933,0.000783933,0.000783933
88,8743.17,1.40698,0.98964,1.70163,0.85147,0.84615,0.89131,0.53557,1.39953,0.83223,2.06757,0.000763797,0.000763797,0.000763797
89,8834.86,1.40118,0.9882,1.70665,0.86917,0.84462,0.89386,0.52063,1.44737,0.82961,1.84099,0.000743769,0.000743769,0.000743769
90,8928.41,1.40431,0.99176,1.6829,0.85453,0.85852,0.89152,0.52059,1.43396,0.8359,1.90905,0.000723859,0.000723859,0.000723859
91,9020.3,1.39089,0.96513,1.69469,0.90092,0.81692,0.8844,0.53953,1.38192,0.85788,1.93704,0.000704073,0.000704073,0.000704073
92,9113.49,1.38435,0.97325,1.67017,0.89387,0.83385,0.89719,0.53592,1.41163,0.85226,1.92938,0.000684422,0.000684422,0.000684422
93,9206.73,1.39661,0.99065,1.69948,0.87444,0.84,0.89818,0.53595,1.40918,0.83231,1.93946,0.000664914,0.000664914,0.000664914
94,9304.05,1.38112,0.96214,1.68624,0.88427,0.84637,0.90072,0.53912,1.39489,0.81971,2.0629,0.000645557,0.000645557,0.000645557
95,9395.45,1.39394,0.95286,1.67911,0.84139,0.85385,0.8865,0.53222,1.42182,0.86228,1.89666,0.00062636,0.00062636,0.00062636
96,9489.57,1.39563,0.97728,1.68781,0.88421,0.82,0.88972,0.52885,1.43224,0.86156,1.93588,0.000607331,0.000607331,0.000607331
97,9581.23,1.37609,0.95849,1.66542,0.85402,0.85503,0.89391,0.53309,1.42714,0.83111,1.93526,0.000588479,0.000588479,0.000588479
98,9676.15,1.37623,0.9599,1.67088,0.87554,0.83231,0.89505,0.53339,1.41425,0.81337,2.03673,0.000569811,0.000569811,0.000569811
